'Tickers','Security','Sector','Industry'
VNO,Vornado Realty Trust,Real Estate,Office REITs
WELL,Welltower Inc.,Real Estate,Health Care REITs
WY,Weyerhaeuser Corp.,Real Estate,Specialized REITs
T,AT&T Inc,Telecommunication Services,Integrated Telecommunication Services
CTL,CenturyLink Inc,Telecommunication Services,Integrated Telecommunication Services
VZ,Verizon Communications,Telecommunication Services,Integrated Telecommunication Services
AES,AES Corp,Utilities,Independent Power Producers & Energy Traders
LNT,Alliant Energy Corp,Utilities,Electric Utilities
AEE,Ameren Corp,Utilities,Multi-Utilities
AEP,American Electric Power,Utilities,Electric Utilities
AWK,American Water Works Company Inc,Utilities,Water Utilities
CNP,CenterPoint Energy,Utilities,Multi-Utilities
CMS,CMS Energy,Utilities,Multi-Utilities
ED,Consolidated Edison,Utilities,Electric Utilities
D,Dominion Energy,Utilities,Electric Utilities
DTE,DTE Energy Co.,Utilities,Multi-Utilities
DUK,Duke Energy,Utilities,Electric Utilities
EIX,Edison Int'l,Utilities,Electric Utilities
ETR,Entergy Corp.,Utilities,Electric Utilities
ES,Eversource Energy,Utilities,Multi-Utilities
EXC,Exelon Corp.,Utilities,Multi-Utilities
FE,FirstEnergy Corp,Utilities,Electric Utilities
NEE,NextEra Energy,Utilities,Multi-Utilities
NI,NiSource Inc.,Utilities,Multi-Utilities
NRG,NRG Energy,Utilities,Independent Power Producers & Energy Traders
PCG,PG&E Corp.,Utilities,Multi-Utilities
PNW,Pinnacle West Capital,Utilities,Multi-Utilities
PPL,PPL Corp.,Utilities,Electric Utilities
PEG,Public Serv. Enterprise Inc.,Utilities,Electric Utilities
SCG,SCANA Corp,Utilities,Multi-Utilities
SRE,Sempra Energy,Utilities,Multi-Utilities
SO,Southern Co.,Utilities,Electric Utilities
WEC,Wec Energy Group Inc,Utilities,Electric Utilities
XEL,Xcel Energy Inc,Utilities,Multi-Utilities
